Subdivision,Public health unit
3501,EASTERN_ONTARIO
3502,EASTERN_ONTARIO
3506,CITY_OF_OTTAWA
3507,LEEDS_GRENVILLE_AND_LANARK_DISTRICT
3509,LEEDS_GRENVILLE_AND_LANARK_DISTRICT
3510,KINGSTON_FRONTENAC_LENNOX_&_ADDINGTON
3511,KINGSTON_FRONTENAC_LENNOX_&_ADDINGTON
3512,HASTINGS_&_PRINCE_EDWARD_COUNTIES
3513,HASTINGS_&_PRINCE_EDWARD_COUNTIES
3514,HALIBURTON_KAWARTHA_PINE_RIDGE
3515,PETERBOROUGH_COUNTY-CITY
3516,HALIBURTON_KAWARTHA_PINE_RIDGE
3518,DURHAM_REGION
3519,YORK_REGION
3520,TORONTO
3521,PEEL_REGION
3522,WELLINGTON-DUFFERIN-GUELPH
3523,WELLINGTON-DUFFERIN-GUELPH
3524,HALTON_REGION
3525,CITY_OF_HAMILTON
3526,NIAGARA_REGION
3528,HALDIMAND-NORFOLK
3529,BRANT_COUNTY
3530,WATERLOO_REGION
3531,HURON_PERTH
3532,OXFORD_ELGIN-ST.THOMAS
3534,OXFORD_ELGIN-ST.THOMAS
3536,CHATHAM-KENT
3537,WINDSOR-ESSEX_COUNTY
3538,LAMBTON_COUNTY
3539,MIDDLESEX-LONDON
3540,HURON_PERTH
3541,GREY_BRUCE
3542,GREY_BRUCE
3543,SIMCOE_MUSKOKA_DISTRICT
3544,SIMCOE_MUSKOKA_DISTRICT
3546,HALIBURTON_KAWARTHA_PINE_RIDGE
3547,RENFREW_COUNTY_AND_DISTRICT
3548,NORTH_BAY_PARRY_SOUND_DISTRICT
3549,NORTH_BAY_PARRY_SOUND_DISTRICT
3551,SUDBURY_AND_DISTRICT
3552,SUDBURY_AND_DISTRICT
3553,SUDBURY_AND_DISTRICT
3554,TIMISKAMING
3556,PORCUPINE
3557,ALGOMA_DISTRICT
3558,THUNDER_BAY_DISTRICT
3559,NORTHWESTERN
3560,NORTHWESTERN
