"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-04-02","CENTRAL",51,39,113,0,0,0,0
"2020-04-03","CENTRAL",57,52,141,0,0,0,0
"2020-04-04","CENTRAL",65,57,143,0,0,0,0
"2020-04-05","CENTRAL",65,55,174,0,0,0,0
"2020-04-06","CENTRAL",73,58,187,0,0,0,0
"2020-04-07","CENTRAL",83,68,183,0,0,0,0
"2020-04-08","CENTRAL",85,68,203,0,0,0,0
"2020-04-09","CENTRAL",92,73,205,0,0,0,0
"2020-04-10","CENTRAL",88,73,218,0,0,0,0
"2020-04-11","CENTRAL",90,77,230,0,0,0,0
"2020-04-12","CENTRAL",93,70,237,0,0,0,0
"2020-04-13","CENTRAL",92,78,248,0,0,0,0
"2020-04-14","CENTRAL",89,73,265,0,0,0,0
"2020-04-15","CENTRAL",89,74,284,0,0,0,0
"2020-04-16","CENTRAL",86,67,287,0,0,0,0
"2020-04-17","CENTRAL",86,72,293,0,0,0,0
"2020-04-18","CENTRAL",90,74,298,0,0,0,0
"2020-04-19","CENTRAL",88,73,299,0,0,0,0
"2020-04-20","CENTRAL",87,74,309,0,0,0,0
"2020-04-21","CENTRAL",88,72,317,0,0,0,0
"2020-04-22","CENTRAL",85,68,316,0,0,0,0
"2020-04-23","CENTRAL",85,67,320,0,0,0,0
"2020-04-24","CENTRAL",88,67,351,0,0,0,0
"2020-04-25","CENTRAL",91,73,367,0,0,0,0
"2020-04-26","CENTRAL",92,70,383,0,0,0,0
"2020-04-27","CENTRAL",91,70,382,0,0,0,0
"2020-04-28","CENTRAL",89,65,370,0,0,0,0
"2020-04-29","CENTRAL",86,64,381,0,0,0,0
"2020-04-30","CENTRAL",86,61,402,0,0,0,0
"2020-05-01","CENTRAL",79,59,411,86,64,7,5
"2020-05-02","CENTRAL",79,55,415,83,64,4,9
"2020-05-03","CENTRAL",87,65,396,91,67,4,2
"2020-05-04","CENTRAL",85,66,396,89,69,4,3
"2020-05-05","CENTRAL",86,67,433,90,72,4,5
"2020-05-06","CENTRAL",84,67,435,90,74,6,7
"2020-05-07","CENTRAL",83,60,433,86,70,3,10
"2020-05-08","CENTRAL",81,64,437,85,69,4,5
"2020-05-09","CENTRAL",78,63,445,82,68,4,5
"2020-05-10","CENTRAL",76,53,391,80,63,4,10
"2020-05-11","CENTRAL",75,58,433,81,64,6,6
"2020-05-12","CENTRAL",78,60,445,83,63,5,3
"2020-05-13","CENTRAL",76,56,452,80,59,4,3
"2020-05-14","CENTRAL",74,55,458,77,59,3,4
"2020-05-15","CENTRAL",73,56,451,77,60,4,4
"2020-05-16","CENTRAL",74,59,458,78,63,4,4
"2020-05-17","CENTRAL",65,57,439,70,60,5,3
"2020-05-18","CENTRAL",68,56,439,73,59,5,3
"2020-05-19","CENTRAL",66,53,444,76,60,10,7
"2020-05-20","CENTRAL",67,51,453,78,59,11,8
"2020-05-21","CENTRAL",66,52,449,77,60,11,8
"2020-05-22","CENTRAL",64,52,429,76,61,12,9
"2020-05-23","CENTRAL",63,52,409,78,62,15,10
"2020-05-24","CENTRAL",64,49,395,80,64,16,15
"2020-05-25","CENTRAL",61,50,402,76,64,15,14
"2020-05-26","CENTRAL",62,50,386,77,64,15,14
"2020-05-27","CENTRAL",65,54,388,78,64,13,10
"2020-05-28","CENTRAL",66,42,389,79,63,13,21
"2020-05-29","CENTRAL",61,52,383,76,62,15,10
"2020-05-30","CENTRAL",60,39,387,75,60,15,21
"2020-05-31","CENTRAL",60,47,368,76,56,16,9
"2020-06-01","CENTRAL",62,48,359,76,57,14,9
"2020-06-02","CENTRAL",61,47,378,75,56,14,9
"2020-06-03","CENTRAL",62,49,384,75,60,13,11
"2020-06-04","CENTRAL",58,45,380,72,54,14,9
"2020-06-05","CENTRAL",57,45,364,71,55,14,10
"2020-06-06","CENTRAL",58,48,326,71,56,13,8
"2020-06-07","CENTRAL",55,45,320,66,55,11,10
"2020-06-08","CENTRAL",53,41,304,64,51,11,10
"2020-06-09","CENTRAL",51,41,285,62,48,11,7
"2020-06-10","CENTRAL",52,39,282,62,47,10,8
"2020-06-11","CENTRAL",53,40,252,64,48,11,8
"2020-06-12","CENTRAL",48,34,231,60,46,12,12
"2020-06-13","CENTRAL",46,21,222,58,39,12,18
"2020-06-14","CENTRAL",45,30,206,57,41,12,11
"2020-06-15","CENTRAL",44,23,193,57,35,13,12
"2020-06-16","CENTRAL",42,27,191,56,38,14,11
"2020-06-17","CENTRAL",37,24,175,50,34,13,10
"2020-06-18","CENTRAL",33,19,167,48,30,15,11
"2020-06-19","CENTRAL",31,23,149,46,30,15,7
"2020-06-20","CENTRAL",29,22,157,46,35,17,13
"2020-06-21","CENTRAL",31,22,146,48,34,17,12
"2020-06-22","CENTRAL",24,17,143,44,30,20,13
"2020-06-23","CENTRAL",25,18,148,45,30,20,12
"2020-06-24","CENTRAL",24,18,139,42,32,18,14
"2020-06-25","CENTRAL",22,19,132,40,32,18,13
"2020-06-26","CENTRAL",21,17,126,40,29,19,12
"2020-06-27","CENTRAL",19,15,122,39,29,20,14
"2020-06-28","CENTRAL",19,14,108,39,27,20,13
"2020-06-29","CENTRAL",19,14,111,40,25,21,11
"2020-06-30","CENTRAL",16,14,99,34,24,18,10
"2020-07-01","CENTRAL",18,13,104,32,22,14,9
"2020-07-02","CENTRAL",19,12,62,35,23,16,11
"2020-07-03","CENTRAL",19,12,62,34,23,15,11
"2020-07-05","CENTRAL",18,9,50,31,15,13,6
"2020-07-06","CENTRAL",18,9,49,30,17,12,8
"2020-07-07","CENTRAL",17,11,50,28,18,11,7
"2020-07-08","CENTRAL",17,13,48,27,19,10,6
"2020-07-09","CENTRAL",15,11,47,25,17,10,6
"2020-07-10","CENTRAL",17,11,44,26,17,9,6
"2020-07-11","CENTRAL",14,9,52,23,15,9,6
"2020-07-12","CENTRAL",14,10,45,23,15,9,5
"2020-07-13","CENTRAL",12,10,47,20,15,8,5
"2020-07-14","CENTRAL",13,11,46,21,16,8,5
"2020-07-15","CENTRAL",14,12,45,21,18,7,6
"2020-07-16","CENTRAL",15,11,45,22,16,7,5
"2020-07-17","CENTRAL",15,11,36,23,16,8,5
"2020-07-18","CENTRAL",16,12,33,23,15,7,3
"2020-07-19","CENTRAL",15,11,33,21,14,6,3
