"Population estimates on July 1st, by age and sex 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2022-09-28"
"Geography: Canada, Province or territory"
""
""

"Geography","Ontario"
"Sex","Both sexes"
"Age group 3 5","2022"
,"Persons"
"All ages","15,109,416"
"0 to 4 years","714,654"
"5 to 9 years","769,062"
"10 to 14 years","803,899"
"15 to 19 years","849,806"
"20 to 24 years","1,057,366"
"25 to 29 years","1,125,877"
"30 to 34 years","1,103,728"
"35 to 39 years","1,042,232"
"40 to 44 years","953,628"
"45 to 49 years","920,118"
"50 to 54 years","952,509"
"55 to 59 years","1,037,514"
"60 to 64 years","1,004,860"
"65 to 69 years","855,432"
"70 to 74 years","702,717"
"75 to 79 years","523,712"
"80 to 84 years","342,044"
"85 to 89 years","210,933"
"90 to 94 years","103,321"
"95 to 99 years","31,121"
"100 years and over","4,883"
,"Years"
"Median age","40.4"




Footnotes:
1,"Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated reserves (IER)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including IER) and postcensal estimates."
2,"Estimates are final intercensal up to 2015, final postcensal from 2016 to 2020, updated postcensal for 2021 and preliminary postcensal for 2022."
3,"Data for persons aged 90 to 100 years and over will be available from 2001."
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Tables 17100006 and 17100016), international migration (Table 17100014) and interprovincial migration (Table 17100015)."
5,"Age at last birthday in years."



"How to cite: Statistics Canada. Table 17-10-0005-01  Population estimates on July 1st, by age and sex"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501
