Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations,Hospitalizations rate,Deaths,Deaths rate
15-Jan-20,Ontario,0,-,0,0,-,0,0,0,0,0
16-Jan-20,Ontario,1,-,0,0,-,0,0,0,0,0
17-Jan-20,Ontario,0,-,0,0,-,0,0,0,0,0
18-Jan-20,Ontario,0,-,0,0,-,0,0,0,0,0
19-Jan-20,Ontario,0,-,0,0,-,0,0,0,0,0
20-Jan-20,Ontario,0,-,0,0,-,0,0,0,0,0
21-Jan-20,Ontario,1,-,0,0,-,0,1,0,0,0
22-Jan-20,Ontario,2,0,0,0,0,0,0,0,0,0
23-Jan-20,Ontario,0,1,0,2,0,0,2,0,0,0
24-Jan-20,Ontario,1,0,0,1,0,0,0,0,0,0
25-Jan-20,Ontario,1,1,0,0,0,0,2,0,0,0
26-Jan-20,Ontario,0,1,0,0,0,0,0,0,0,0
27-Jan-20,Ontario,1,1,0,0,0,0,0,0,0,0
28-Jan-20,Ontario,0,1,0,0,0,0,0,0,0,0
29-Jan-20,Ontario,1,1,0,0,0,0,1,0,0,0
30-Jan-20,Ontario,0,1,0,0,0,0,2,0,0,0
31-Jan-20,Ontario,1,1,0,0,0,0,0,0,0,0
1-Feb-20,Ontario,1,1,0,0,0,0,3,0,0,0
2-Feb-20,Ontario,1,1,0,0,0,0,0,0,0,0
3-Feb-20,Ontario,0,1,0,0,0,0,2,0,0,0
4-Feb-20,Ontario,0,1,0,0,0,0,0,0,0,0
5-Feb-20,Ontario,3,1,0,2,0,0,0,0,0,0
6-Feb-20,Ontario,0,1,0,0,0,0,0,0,0,0
7-Feb-20,Ontario,0,1,0,0,0,0,3,0,0,0
8-Feb-20,Ontario,0,1,0,0,0,0,0,0,0,0
9-Feb-20,Ontario,0,1,0,0,0,0,1,0,0,0
10-Feb-20,Ontario,2,0,0,0,0,0,1,0,0,0
11-Feb-20,Ontario,0,1,0,0,0,0,2,0,0,0
12-Feb-20,Ontario,0,1,0,0,0,0,0,0,0,0
13-Feb-20,Ontario,0,0,0,0,0,0,2,0,0,0
14-Feb-20,Ontario,2,0,0,0,0,0,1,0,0,0
15-Feb-20,Ontario,1,1,0,0,0,0,2,0,0,0
16-Feb-20,Ontario,1,1,0,0,0,0,0,0,0,0
17-Feb-20,Ontario,2,1,0,0,0,0,2,0,0,0
