week_end,pruid,prename,prfname,product_name,numtotal_totaldoses_admin,numtotal_dose1_admin,numtotal_dose2_admin,numtotal_dose3_admin,numtotal_dose4_admin,numtotal_dose5+_admin,numtotal_dosenotreported_admin,numdelta_dose1,numdelta_dose2,numdelta_dose3,numdelta_dose4,numdelta_dose5+,numdelta_notreported,num2weekdelta_dose1,num2weekdelta_dose2,num2weekdelta_dose3,num2weekdelta_dose4,num2weekdelta_dose5+,num2weekdelta_notreported,num4weekdelta_dose1,num4weekdelta_dose2,num4weekdelta_dose3,num4weekdelta_dose4,num4weekdelta_dose5+,num4weekdelta_notreported
2020-12-19,1,Canada,Canada,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,1,Canada,Canada,Pfizer-BioNTech Comirnaty (ages 12 years and older),12360,7632,0,,,,4728,,,,,,,,,,,,,,,,,,
2020-12-19,1,Canada,Canada,Total,12362,7634,0,,,,4728,,,,,,,,,,,,,,,,,,
2020-12-19,1,Canada,Canada,Unknown,2,2,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty (ages 12 years and older),972,972,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,972,972,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty (ages 12 years and older),1092,1092,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,11,Prince Edward Island,Île-du-Prince-Édouard,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Total,1092,1092,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,13,New Brunswick,Nouveau-Brunswick,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,Not reported,0,,,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,Pfizer-BioNTech Comirnaty (ages 12 years and older),4728,,,,,,4728,,,,,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,Total,4728,,,,,,4728,,,,,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,Unknown,0,,,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,35,Ontario,Ontario,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty (ages 12 years and older),894,894,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Total,894,894,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty (ages 12 years and older),1042,1042,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Total,1042,1042,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,48,Alberta,Alberta,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty (ages 12 years and older),3632,3632,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Total,3634,3634,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,59,British Columbia,Colombie-Britannique,Unknown,2,2,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,60,Yukon,Yukon,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-19,62,Nunavut,Nunavut,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,1,Canada,Canada,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,1,Canada,Canada,Pfizer-BioNTech Comirnaty (ages 12 years and older),46153,28937,0,,,,17216,,,,,,,,,,,,,,,,,,
2020-12-26,1,Canada,Canada,Total,46156,28940,0,,,,17216,21306,0,,,,12488,,,,,,,,,,,,
2020-12-26,1,Canada,Canada,Unknown,3,3,0,,,,0,,,,,,,,,,,,,,,,,,
